,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
1033,140365,101,1,85,75,10,140365,Донецька область
1034,140662,2259,37,1242,1151,91,140662,Донецька область
1035,140663,1647,20,957,884,73,140663,Донецька область
1036,140664,1689,23,976,907,69,140664,Донецька область
1037,140665,1697,23,1025,938,87,140665,Донецька область
1038,140666,1683,18,1018,952,66,140666,Донецька область
1039,140667,1640,29,945,863,82,140667,Донецька область
1040,140668,1634,17,935,863,72,140668,Донецька область
1041,141145,905,14,504,458,46,141145,Донецька область
1042,141146,1102,15,592,568,24,141146,Донецька область
1043,141147,856,3,482,436,46,141147,Донецька область
1044,141148,1785,25,917,858,59,141148,Донецька область
1045,141149,2133,29,1112,1063,49,141149,Донецька область
1046,141150,1824,19,904,839,65,141150,Донецька область
1047,141151,1320,28,768,637,131,141151,Донецька область
1048,141152,1221,22,634,579,55,141152,Донецька область
1049,141153,1409,16,782,707,75,141153,Донецька область
1050,141154,1453,22,805,630,175,141154,Донецька область
1051,141155,1714,25,933,873,60,141155,Донецька область
1052,141156,1058,12,517,482,35,141156,Донецька область
1053,141157,1826,20,958,879,79,141157,Донецька область
1054,141158,1568,21,819,744,75,141158,Донецька область
1055,141159,1916,30,1099,980,119,141159,Донецька область
1056,141160,1252,22,656,592,64,141160,Донецька область
1057,141161,1640,20,833,718,115,141161,Донецька область
1058,141162,1682,9,913,840,73,141162,Донецька область
1059,141163,1515,20,834,794,40,141163,Донецька область
1060,141164,1516,16,761,728,33,141164,Донецька область
1061,141165,203,3,121,106,15,141165,Донецька область
1062,141166,264,9,204,120,84,141166,Донецька область
1063,141167,1706,20,830,786,44,141167,Донецька область
1064,141168,1603,32,666,633,33,141168,Донецька область
1065,141169,1454,28,695,628,67,141169,Донецька область
1066,141170,1134,74,707,645,62,141170,Донецька область
1067,141171,1462,8,687,645,42,141171,Донецька область
1068,141172,1421,22,517,477,40,141172,Донецька область
1069,141173,2148,32,912,853,59,141173,Донецька область
1070,141174,1454,25,685,647,38,141174,Донецька область
1071,141175,1454,11,585,567,18,141175,Донецька область
1072,141176,1777,30,816,736,80,141176,Донецька область
1073,141177,662,4,300,279,21,141177,Донецька область
1074,141178,1533,18,633,591,42,141178,Донецька область
1075,141179,1100,13,447,410,37,141179,Донецька область
1076,141180,546,3,266,252,14,141180,Донецька область
1077,141181,938,15,630,598,32,141181,Донецька область
1078,141182,542,4,268,248,20,141182,Донецька область
1079,141183,706,43,638,607,31,141183,Донецька область
1080,1,541,28,500,227,273,1,Донецька область
1081,2,767,25,669,382,287,2,Донецька область
1082,3,341,18,319,122,197,3,Донецька область
1083,4,307,28,231,133,98,4,Донецька область
1084,5,272,26,245,118,127,5,Донецька область
1085,6,94,3,82,31,51,6,Донецька область
1086,7,773,76,634,402,232,7,Донецька область
1087,8,318,25,293,102,191,8,Донецька область
1088,9,489,36,437,209,228,9,Донецька область
1089,10,194,3,183,74,109,10,Донецька область
1090,11,106,4,100,42,58,11,Донецька область
1091,12,318,15,285,209,76,12,Донецька область
1092,13,224,5,214,132,82,13,Донецька область
1093,14,122,6,112,94,18,14,Донецька область
1094,15,492,23,263,154,109,15,Донецька область
1095,16,319,12,272,47,225,16,Донецька область
1096,140137,1396,17,745,703,42,140137,Донецька область
1097,140138,1475,11,827,772,55,140138,Донецька область
1098,140139,1146,27,667,628,39,140139,Донецька область
1099,140140,1236,17,680,653,27,140140,Донецька область
1100,140141,1492,19,885,809,76,140141,Донецька область
1101,140142,1918,27,1098,984,114,140142,Донецька область
1102,140143,2229,40,1261,1093,168,140143,Донецька область
1103,140144,1238,21,667,598,69,140144,Донецька область
1104,140145,1233,15,671,600,71,140145,Донецька область
1105,140146,1627,23,891,819,72,140146,Донецька область
1106,140147,2279,32,1364,1232,132,140147,Донецька область
1107,140148,1070,25,502,468,34,140148,Донецька область
1108,140149,1966,23,953,902,51,140149,Донецька область
1109,140150,1772,27,757,704,53,140150,Донецька область
1110,140151,1301,16,640,554,86,140151,Донецька область
1111,140152,1921,24,1135,1089,46,140152,Донецька область
1112,140153,1930,17,1139,1070,69,140153,Донецька область
1113,140154,1682,31,833,740,93,140154,Донецька область
1114,140155,1763,35,679,627,52,140155,Донецька область
1115,140156,1941,27,946,866,80,140156,Донецька область
1116,140159,1769,56,641,565,76,140159,Донецька область
1117,140160,871,8,390,318,72,140160,Донецька область
1118,140161,558,11,409,348,61,140161,Донецька область
1119,140164,969,8,507,485,22,140164,Донецька область
1120,140165,922,20,521,452,69,140165,Донецька область
1121,140166,758,9,528,482,46,140166,Донецька область
1122,140167,918,12,461,452,9,140167,Донецька область
1123,140168,630,12,409,388,21,140168,Донецька область
1124,140169,421,3,251,227,24,140169,Донецька область
1125,140170,374,6,198,186,12,140170,Донецька область
1126,140171,2289,29,1033,988,45,140171,Донецька область
1127,140172,690,5,358,324,34,140172,Донецька область
1128,140173,433,1,253,238,15,140173,Донецька область
1129,140174,692,4,385,366,19,140174,Донецька область
1130,140175,580,7,424,322,102,140175,Донецька область
1131,140177,1450,16,763,704,59,140177,Донецька область
1132,140178,994,20,523,491,32,140178,Донецька область
1133,140179,537,6,256,238,18,140179,Донецька область
1134,140180,453,4,257,251,6,140180,Донецька область
